menu_lang,zh_TW,zh_CN,en_US,vi_VN,ja_JP,ko_KR,th_TH,id_ID
commodity_info_vote_login_p,欲進行投票，請先登入QPP APP,欲进行投票，请先登入QPP APP,"If you want to vote, please login QPP APP first.","Để bỏ phiếu, vui lòng đăng nhập QPP APP",投票を行うためには、QPPをログインしてください。,투표를 진행하시려면 우선 QPP APP을 로그인하세요,ถ้าจะโหวต โปรดล็อกอินแอป QPP ก่อน,"Jika anda ingin melakukan pemungutan suara, Silahkan login APP QPP dahulu."
commodity_info_vote_success,投票成功,投票成功,Your vote has been successfully submitted.,Bỏ phiếu thành công,投票成功,투표에 성공합니다,โหวตสำเร็จ,Pemilihan suara anda telah berhasil dikirimkan
commodity_info_vote_success_p,將於APP收到歷程紀錄，投票結果依照創建者設定公布結果,将于APP收到历程纪录，投票结果依照创建者设定公布结果,"You will receive a record in your APP, the vote results will show by the way that the creator chose.","Đưa APP vào lịch sử ghi nhớ, kết quả bỏ phiếu dựa vào kết quả công bố của người thiết lập",APPで履歴を受け取り、投票結果は作成者の設定によって発表します。,APP에서 이력 기록을 수령할 것이며 투표 결과 생성자 설치에 따라 결과 발표할 것입니다.,คุณจะได้รับบันทึกจากแอป ประกาศผลโหวตตามการตั้งค่าของผู้สร้าง,"Anda akan menerima record di APP Anda, hasil pemungutan suara akan ditampilkan dengan cara yang dipilih oleh pembuatnya."
commodity_info_vote_fault,投票失敗,投票失败,Your vote failed to submit.,Bỏ phiếu thất bại,投票失敗,투표에 실패합니다.,คุณโหวตล้มเหลว,Hasil pemilihan suara anda gagal dikirim
commodity_info_vote_cannot,無法投票,无法投票,You cannot vote anymore.,Không thể bỏ phiếu,投票が出来ません,투표할 수 없습니다.,คุณไม่สามารถโหวต,Anda tidak dapat memilih
commodity_info_vote_error9,此物品不可投票，請聯繫客服,此物品不可投票，请联系客服,"This item cannot process a vote function, please contact customer service.","Vật phẩm này không thể bỏ phiếu, vui lòng liên lạc với trung tâm CSKH",当該アイテムは投票できません。<br />カスタマサポートへご連絡ください。,해당 물품은 투표할 수 없습니다.고객서비스 센터로 연락하여 주시길 바랍니다,สินค้านี้ไม่สามารถโหวต โปรดติดต่อฝ่ายบริการลูกค้า,"Item ini tidak dapat memproses fungsi voting, harap hubungi layanan pelanggan."
commodity_info_vote_error12,資料錯誤，請聯繫客服,资料错误，请联系客服,"The vote data went wrong, please contact customer service.","Dữ liệu bỏ phiếu lỗi, vui lòng liên lạc với trung tâm CSKH",投票資料にエラーが発生したため、カスタマサポートへご連絡ください。,투표 정부 오류입니다.고객서비스 센터로 연락하여 주시길 바랍니다,ข้อมูลผิดพลาด โปรดติดต่อฝ่ายบริการลูกค้า,"Data pemungutan suara salah, silakan hubungi customer service"
commodity_info_vote_error18,投票過程發生問題，請稍後重新嘗試,投票过程发生问题，请稍后重新尝试,"An error occurred during the vote process, please try again later.","Quá trình bỏ phiếu phát sinh lỗi, vui lòng thử lại sau",投票時にエラーが発生したため、しばらく時間を置いてから再度お試しください。,투표 과정에 문제가 발생되어 잠시 후 다시 시도하여 주시길 바랍니다,เกิดปัญหาในระหว่างการโหวต โปรดลองอีกครั้งในภายหลัง,"Terjadi kesalahan selama proses pemungutan suara, harap coba beberapa saat lagi"
commodity_info_vote_error22,此帳號被停權，無法進行投票,此帐号被停权，无法进行投票,This account cannot vote because the account has been terminated.,"Tài khoản này đã bị dừng, không thể tham gia bỏ phiếu",アカウントが制限されてますので、投票できません。,해당 계정은 권리 중지 제재되었으니 투표를 진행할 수 없습니다,บัญชีนี้ถูกระงับ ไม่สามารถโหวต,Akun ini tidak dapat memilih suara karena telah di hentikan
commodity_info_vote_error30,伺服器忙碌中，請稍後重新嘗試,伺服器忙碌中，请稍后重新尝试,"Server is busy, please try again later.","Máy chủ đang bận, vui lòng thử lại sau",サーバーが混雑しています。しばらく時間を置いてから再度お試しください。,지금 서버가 바쁩니다 잠시후 다시 시도하여 주시길 바랍니다,เซิร์ฟเวอร์ไม่ว่าง โปรดลองอีกครั้งในภายหลัง,"Server sedang sibuk, silahkan coba  lagi "
commodity_info_vote_error72,因您為問卷創建者，會帶您前往統計結果,因您为问卷创建者，会带您前往统计结果,System will redirect you to the statistical results due to you being the creator.,"Vì bạn là người đưa ra câu hỏi, sẽ đưa bạn tới kết quả thống kế",アンケート作成者であるため、集計結果へ移動されます。,설문 조사 생성자이니 통계 결과로 안내드리겠습니다.,เพราะคุณเป็นผู้สร้างแบบสอบถาม จะพาคุณไปที่ผลสถิติ,Sistem akan mengarahkan anda ke hasil statistik karena anda adalah pembuatnya.
commodity_info_vote_error73,投票時間已截止，帶您前往統計結果,投票时间已截止，带您前往统计结果,"The vote time is over, redirecting you to the results.","Thời gian bỏ phiếu đã chấm dứt, Bạn có thể tiến tới xem kết quả",投票時間が終了したため、統計結果へ移動します。,투표 시간이 마감되며 통계 결과 페이지로 이동합니다,เวลาโหวตสิ้นสุด จะพาคุณไปสู่ผลสถิติ,"Waktu pemungutan suara telah berakhir, mengarahkan anda langsung ke hasil"
commodity_info_vote_error74,您已投過票，帶您前往統計結果,您已投过票，带您前往统计结果,"You already vote for it, the system will redirect you to the results.","Bạn đã bỏ phiếu, đến kết quả thống kê",投票したため、集計結果へ移動されます。,이미 투표하셨습니다.통계 결과로 안내드리겠습니다.,คุณได้โหวตแล้ว จะพาคุณไปสู่ผลสถิติ,"Anda telah memilih, sistem akan mengarahkan ke hasil."
commodity_info_vote_qrcodeOverdue,QR Code驗證時間已逾期，請重新嘗試,QR Code验证时间已逾期，请重新尝试,"QR Code authentication time expired, please try again.","Thời gian xác thực mã QR code đã hết hạn, vui lòng thử lại ",QRコードの認証期限が切れたため、もう一度お試しください。,"QR Code 인증 기간이 지났습니다, 다시 시도해 주세요.",เวลายืนยันQR Code หมดอายุแล้ว โปรดลองใหม่,"Waktu autentikasi QR-code telah habis, harap coba lagi."
commodity_info_vote_enter,確定,确定,Confirm,Xác nhận,確定,확인,ยืนยัน,Mengonfirmasi
commodity_info_more,更多,更多,More,Nhiều hơn,もっと見る,더보기,เพิ่มเติม,Selanjutnya
commodity_info_countdown,(登入倒數：,(登入倒数：,Login Countdown:,(Thời gian đăng nhập đếm ngược:,(ログインカウントダウン：,(로그인 카운트：,(ล็อกอินนับถอยหลัง:,(Login countdown:
commodity_info_seconds,秒),秒),second(s),s),秒),초),วินาที),detik)
commodity_info_notice,請注意,请注意,Warning,Cảnh báo,注意,경고,คำเตือน,Peringatan
commodity_info_category,類別,类别,Category,Loại,カテゴリー,유별,ประเภท,Kategori
footer_companyName,快鏈科技,快链科技,"HOLY BUSINESS CO., LTD","HOLY BUSINESS CO., LTD","HOLY BUSINESS CO., LTD","HOLY BUSINESS CO., LTD","HOLY BUSINESS CO., LTD","HOLY BUSINESS CO., LTD"
footer_taxID,統一編號,统一编号,Tax ID Number,Mã số thuế,統一番号,사업자등록번호,เลขจดทะเบียนธุรกิจ,tax ID number
footer_customerServiceEmail,客服信箱,客服信箱,Customer Service E-mail,Email CSKH,お問い合わせメール,고객 센터 이메일,อีเมลฝ่ายบริการลูกค้า,E-mail Customer Service
footer_businessProposalEmail,商務合作信箱,商务合作信箱,Business Proposal E-mail,Email nhà hợp tác,業務提携お問い合わせ,콜라보 우편함,อีเมลข้อเสนอทางธุรกิจ,E-mail Business Proposal
footer_link,連結,连结,Link,Liên kết,リンク,링크,ลิงค์,Tautan
footer_terms,條款,条款,Terms,Điều khoản,規約,약관,เงื่อนไข,Terms
footer_privacyPolicy,隱私權政策,隐私权政策,Privacy Policy,Chính sách bảo mật,プライバシーポリシー,프라이버시 정책,นโยบายความเป็นส่วนตัว,Privacy Policy
footer_termsOfService,使用者條款,使用者条款,Terms of Service,Điều khoản người sử dụng,利用規約,서비스계약,เงื่อนไขการให้บริการ,Terms of Service
